ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING
101560351;10057781;245054877;0;Eichenweg;11a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.586502001;47.45849484
100340528;10063993;410362;0;Im Steinler;5;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590305226;47.46217749
101762503;10024294;245057505;0;Hangelimattweg;7;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.578347386;47.45895461
101688473;10087183;245056242;0;Im Noll;20a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.58595173;47.46093292
100338929;10024301;410289;0;Steingrubenweg;5;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594013096;47.46024788
101381152;10051584;245000149;0;Kreuzackerweg;4a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.58558911;47.45927847
100339481;10057780;410417;0;Baumgartenweg;10;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.588840484;47.46008378
102413845;10113461;245066588;0;Alemannenweg;6a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.02.2022;7.592043401;47.4578311
101381261;10051583;245000271;0;Keltenweg;21a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595986153;47.45923789
101151342;10179159;2351784;0;Burgweg;25;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595736586;47.46005669
102364647;10103052;245065920;0;Mattenweg;28a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.593622535;47.45818876
101379300;10120609;245000094;0;Im Gwidem;27a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.587440006;47.46198332
101289849;10087186;3121570;0;Vogtackerweg;39;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584815317;47.45758857
100341077;10024290;410485;0;Bergmattenweg;81;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.579433793;47.45855757
101784537;10024291;245057919;0;Buchenweg;9a;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.586142381;47.45792867
102292337;10063994;245065055;0;Rauracherweg;11a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.594553294;47.45903296
101608092;10152939;245000216;1;Grosse Weide;100o;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.58492368;47.45356809
101152735;10087184;2351819;0;Krebsenbachweg;3;other_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590429404;47.45920031
101818112;10051582;245059654;0;Hauptstrasse;2a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594016806;47.46152502
101675528;10063991;410576;1;Hollenweg;15;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.587598245;47.4568925
100340526;10063993;410360;0;Im Steinler;9;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590117821;47.46156614
101383101;10132128;245000299;0;Allmendgasse;32a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584146379;47.46030561
101461371;10024292;245043973;0;Bnenmattweg;2;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.582555387;47.46046948
101377656;10051582;245000067;0;Hauptstrasse;52a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589434073;47.45894977
100332767;10051583;410217;0;Keltenweg;1a;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.59314949;47.45970039
100332747;10087184;410197;0;Krebsenbachweg;10;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591026868;47.45944236
101379304;10024296;245000098;0;Im Herrengarten;2a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589097299;47.45708844
101381252;10051582;245000262;0;Hauptstrasse;39b;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589661245;47.45956107
100332740;10113461;410190;0;Alemannenweg;11;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593701008;47.45781091
101381194;10087185;245000193;0;Schollenackerweg;6a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584276991;47.45956793
100339594;10057781;410520;0;Eichenweg;18;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584910899;47.45859578
101381260;10051583;245000270;0;Keltenweg;20a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595507996;47.45898671
100341157;10063992;410557;0;Im Jrtli;11;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.583292732;47.45849887
100332804;10024299;410255;0;Nespelmattweg;8;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595593397;47.46097427
101571502;10051581;245053715;0;Grenzweg;8f;special;;4148 Pfeffingen;2761;BL;real;WAHR;FALSCH;25.03.2022;7.592505536;47.46174289
101461372;10024294;245043974;0;Hangelimattweg;15;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.578624774;47.45853156
100341071;10024290;410479;0;Bergmattenweg;50;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.580959889;47.45894245
101381243;10087181;245000253;0;Etterweg;3a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.588663995;47.45862698
101999026;10024291;245062294;0;Buchenweg;3;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.586963859;47.4576668
101377666;10154580;245000077;0;Rttimatt;130c;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.579269198;47.45648014
101541866;10024299;245012387;0;Nespelmattweg;9a;non_residential;;4148 Pfeffingen;2761;BL;real;WAHR;FALSCH;25.03.2022;7.59601863;47.46126151
100339127;10051582;410095;0;Hauptstrasse;3;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594360471;47.46112883
101381193;10087185;245000192;0;Schollenackerweg;5a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.584077724;47.45944226
100339495;10024292;410431;0;Bnenmattweg;31;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.58074811;47.45909561
100339445;10120609;410381;0;Im Gwidem;19;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.586338166;47.46159798
101608083;10152941;245000020;1;Schlosshof;123;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.59272861;47.4563102
102445721;10024293;245067741;0;Grbelackerweg;5c;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;27.02.2022;7.582248384;47.45973235
102373312;10024298;245063803;0;Langbodenweg;4;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.587498236;47.45907818
102043084;10051582;245062816;0;Hauptstrasse;45a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589488412;47.45940839
101849714;10154579;245061088;0;Pfarrhofacker;11;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.586611923;47.45987978
101383120;10152945;245000320;0;Steinbrunnen;99;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.569409401;47.45909091
101475951;10087184;245045776;0;Krebsenbachweg;9;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.590789334;47.4598564
100341057;10024290;410465;0;Bergmattenweg;30;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581650115;47.45917545
101546639;10063993;245051180;0;Im Steinler;19;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589480475;47.46129715
101151337;10051583;2351779;0;Keltenweg;23;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.596251703;47.45934546
100332761;10113462;410211;0;Mettliweg;17;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591967622;47.45915332
